timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-10-30T00:00:00.000Z";"2022-10-30T23:59:59.999Z";"2022-10-30T07:13:00.000Z";"2022-10-30T22:32:00.000Z";"2781";1619.6978943521;1637.0378795847;1579.4851979304;1590.783325383;13930073426.96;194670301516.91;"2022-10-30T23:59:59.999Z"
"2022-10-29T00:00:00.000Z";"2022-10-29T23:59:59.999Z";"2022-10-29T17:53:00.000Z";"2022-10-29T00:41:00.000Z";"2781";1555.274668616;1652.3822187455;1549.9836947253;1619.6984587987;21618154774.82;198208758106.57;"2022-10-29T23:59:59.999Z"
"2022-10-28T00:00:00.000Z";"2022-10-28T23:59:59.999Z";"2022-10-28T20:46:00.000Z";"2022-10-28T07:59:00.000Z";"2781";1514.3231610183;1568.6339400993;1493.8710426036;1555.4778770898;19974623204.7;190349837406.71;"2022-10-28T23:59:59.999Z"
"2022-10-27T00:00:00.000Z";"2022-10-27T23:59:59.999Z";"2022-10-27T00:23:00.000Z";"2022-10-27T23:17:00.000Z";"2781";1566.8413823932;1574.4034186478;1510.8167824574;1514.3748569051;22813499244.62;185319902025.23;"2022-10-27T23:59:59.999Z"
"2022-10-26T00:00:00.000Z";"2022-10-26T23:59:59.999Z";"2022-10-26T14:47:00.000Z";"2022-10-26T00:15:00.000Z";"2781";1461.1331942544;1584.6367646807;1460.4286670437;1566.566631173;32705548426.58;191706811085.26;"2022-10-26T23:59:59.999Z"
"2022-10-25T00:00:00.000Z";"2022-10-25T23:59:59.999Z";"2022-10-25T18:39:00.000Z";"2022-10-25T01:26:00.000Z";"2781";1344.7113448504;1509.985492921;1336.9789112789;1461.6654237274;25367291294.27;178869645044.44;"2022-10-25T23:59:59.999Z"
"2022-10-24T00:00:00.000Z";"2022-10-24T23:59:59.999Z";"2022-10-24T00:32:00.000Z";"2022-10-24T14:28:00.000Z";"2781";1363.4918066525;1368.4255000004;1327.8540108573;1344.998488552;13092820173.3;164592661444.43;"2022-10-24T23:59:59.999Z"
"2022-10-23T00:00:00.000Z";"2022-10-23T23:59:59.999Z";"2022-10-23T22:47:00.000Z";"2022-10-23T12:28:00.000Z";"2781";1314.249452474;1367.7607250189;1302.9087590724;1363.4470578564;9909510924.7;166850284146.24;"2022-10-23T23:59:59.999Z"
"2022-10-22T00:00:00.000Z";"2022-10-22T23:59:59.999Z";"2022-10-22T21:56:00.000Z";"2022-10-22T05:31:00.000Z";"2781";1299.9023345922;1317.101078015;1295.9468415803;1314.2992270631;7175324564.31;160835874209.47;"2022-10-22T23:59:59.999Z"
"2022-10-21T00:00:00.000Z";"2022-10-21T23:59:59.999Z";"2022-10-21T20:13:00.000Z";"2022-10-21T12:25:00.000Z";"2781";1283.1880659091;1305.0813115559;1260.6667427239;1299.9464423868;10412565245.47;159079468496.66;"2022-10-21T23:59:59.999Z"
"2022-10-20T00:00:00.000Z";"2022-10-20T23:59:59.999Z";"2022-10-20T14:24:00.000Z";"2022-10-20T01:08:00.000Z";"2781";1285.6602977072;1307.8550604326;1275.3239301137;1283.2009226517;9009111996.2;157030254550.38;"2022-10-20T23:59:59.999Z"
"2022-10-19T00:00:00.000Z";"2022-10-19T23:59:59.999Z";"2022-10-19T00:08:00.000Z";"2022-10-19T23:50:00.000Z";"2781";1310.5631247277;1312.4423311944;1283.9652721643;1285.7442070375;8350692784.56;157341486086.64;"2022-10-19T23:59:59.999Z"
"2022-10-18T00:00:00.000Z";"2022-10-18T23:59:59.999Z";"2022-10-18T00:35:00.000Z";"2022-10-18T19:17:00.000Z";"2781";1331.6699209621;1339.0859668817;1291.6606994331;1310.4470366521;10416747806.47;160364466785.93;"2022-10-18T23:59:59.999Z"
"2022-10-17T00:00:00.000Z";"2022-10-17T23:59:59.999Z";"2022-10-17T22:22:00.000Z";"2022-10-17T03:36:00.000Z";"2781";1306.309604668;1335.6478717731;1297.4472585074;1331.71360827;9401189650.49;162966939318.2;"2022-10-17T23:59:59.999Z"
"2022-10-16T00:00:00.000Z";"2022-10-16T23:59:59.999Z";"2022-10-16T21:16:00.000Z";"2022-10-16T00:00:00.000Z";"2781";1275.0055418168;1312.6345602128;1275.0055418168;1306.2966216886;7491625206.46;159856564471.73;"2022-10-16T23:59:59.999Z"
"2022-10-15T00:00:00.000Z";"2022-10-15T23:59:59.999Z";"2022-10-15T04:05:00.000Z";"2022-10-15T23:04:00.000Z";"2781";1297.3059342988;1300.7459560151;1268.4684651013;1274.87164808;6798512623.95;156569408718.13;"2022-10-15T23:59:59.999Z"
